question,wiki-url,score 1,score 2,score 3,score 4,answer 1,answer 2,answer 3,answer 4
What's the name of Ron's pet rat?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Easy,,Scabbers,Scabbers,Scabbers,
What is the prequel of Harry Potter and the Prisoner of Azkaban?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Easy,,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,
Is Prisoner of Azkaban currently the best-reviewed film? ,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Hard,Medium,,No,,No,
What does Minerva McGonagall teach at Hogwarts?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Medium,Medium,,Transfiguration,Transfiguration,Transfiguration,
Who was the figure in the distance casting a powerful Patronus spell before Harry passed out?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,Harry Potter,Harry,Harry,
"In the end, did Buckbeak die? ",http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,No,No,No,
Who is The King's Speech directed by?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,,Tom Hooper directed The King's Speech.,third instalment,Tom Hooper,
Who plays the future King George VI?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,,Colin Firth plays the future King George VI.,"a ritual performed by the We√Ørd Sisters in Act 4, Scene 1 of Shakespeare's Macbeth",Colin Firth,
Did principal photograogy take place around britain?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,,Yes.,No. 471,Yes,
Did the film receive more than 10 Oscar nominations at the 83rd Academy Awards?,http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Hard,,Yes.,yes,Yes,
What is the budget of the film?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Medium,,¬£8 million,¬£8 million,¬£8 million,
Does this film earn over ¬£300 million in UK?,http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Hard,,No.,Harry Potter and the Deathly Hallows ‚Äì Part 2,No,
Who does Hopper think would be a good choice to play King George VI,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,,Hugh Grant,Hugh Grant,Hugh Grant,
"According to Alexandre Desplat, what are the three elements that music should deal with in the film?",http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Hard,,"the sound of the voice, silence, time","the sound of the voice, silence, time","the sound of the voice, silence, time",
Why does the London Film Festival board lower the rating from 15 certificate to 12A?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,,Following Hooper's criticism,following Hooper's criticism,Following Hooper's criticism,
Whod wrote The King's Speech?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Medium,Easy,,David Seider,David Seidler,David Seidler,
Who plays King George VI?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,,Colin Firth plays the future King George VI.,Colin Firth,Colin Firth,
What inpired the young Seidler?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Easy,Medium,,King George VI's success in overcoming his stammer inspired the young Seidler,King George VI's success in overcoming his stammer,King George VI's success in overcoming his stammer,
Why did set design present a challenge for the film-makers?,http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Hard,,"period dramas rely to an extent on the quality of production, but their budget was a relatively limited ¬£8 million.","period dramas rely to an extent on the quality of production, but their budget was a relatively limited ¬£8 million","period dramas rely to an extent on the quality of production, but their budget was a relatively limited ¬£8 million",
What did Kate Firth make suggestions on?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,,She made suggestion on made suggestions on how to imagine Logue's mix of physical and psychological coaching for the film,how to imagine Logue's mix of physical and psychological coaching for the film,how to imagine Logue's mix of physical and psychological coaching for the film,
What helps to convey the King's discomfort?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,easy,Easy,,the subtle distortion of the picture,the subtle distortion of the picture,the subtle distortion of the picture,
Why was the thilm was initially given a 15 certificate by the British Board of Film Classification?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,,Because scenes where Logue encourages the King to shout profanities to relieve stress.,due to scenes where Logue encourages the King to shout profanities to relieve stress,due to scenes where Logue encourages the King to shout profanities to relieve stress,
Were usual historical dramas often shot indoors?,http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Hard,,no,No,No,
How long did it take the Duke of York to improve his speech in reality?,http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Hard,,it takes months,in months,months,
When did Seidler started writing about the relationship between the monarch and his therapist,http://en.wikipedia.org/wiki/The_King's_Speech,medium,Easy,Medium,,as early as the 1980s,He started writing about the relationship between the monarch and his therapist as early as the 1980s.,as early as the 1980s,
Who is the cast for Princess Elizabeth?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Medium,,Freya Wilson,Freya Wilson is the cast for Princess Eliazabeth.,Freya Wilson,
What are the three aspect that film critics commended for this film?,http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Hard,,"visual style, art direction, and acting","Visual style, art direction, and acting are the three aspects that film critics commended for this film.","its visual style, art direction, and acting",
Which company distributed the film in Germany?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Hard,,The Weinstein Company,The Weinstein Company distributed it in Germany.,The Weinstein Company,
How many Oscar nominations did the film receive?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,,12,The film received 12 Oscar nominations.,12,
"What's the cost to rent Lancaster House for a week, which is 7 days? ",http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Medium,Medium,,¬£140000,¬£140000,¬£140000,
Why did not the crew film in Logue's former consultation rooms?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,,Because they were too small to film in.,Becaues they were too small to film in.,Becaues they were too small to film in,
Who composed the film's original score?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,,Alexandre Desplat.,Alexandre Desplat.,Alexandre Desplat,
Why did Hooper want to use a harsher glare?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,,"Beause it gives a more contemporary feel, and a greater emotional resonance","Because it gives a more contemporary feel, and thus a greater emotional resonance.","Because it gives a more contemporary feel, and thus a greater emotional resonance.",
Who help the King to make his first wartime radio broadcast?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Medium,Medium,,Lionel Logue,Logue helped the king to make his first wartime radio broadcast.,Logue,
What instruction did King George V give Albert to practice broadcasting?,http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Hard,,"King George V  demands that Albert train himself, starting with a reading of his father's speech",King George V told Albert to start with a reading of his father's speech.,"He demands that Albert train himself, starting with a reading of his father's speech",
Why King Edward abdicate?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,,"in order to marry Simpson,",King Edward decides to abdicate in order to marry Simpson.,in order to marry Simpson,
Why David Seidler wrote the King's Speech?,http://en.wikipedia.org/wiki/The_King's_Speech,Hard,Hard,Hard,,King George VI's success in overcoming his stammer inspired the David Seidler,He wrote the King's Speech because King George VI's success in overcoming his stammer inspired the young Seidler.,Because King George VI's success in overcoming his stammer inspired the young Seidler,
What is Neil Swain's role in this film?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Easy,Medium,,the voice coach for the film,Neil Swain is the voice coach for the film.,voice coach,
How did Hooper evoke the King's feelings of constriction?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,,He employed a number of cinematic techniques,Hooper employed a number of cinematic techniques to evoke the King's feelings of constriction.,Hooper employed a number of cinematic techniques,
Which four Academy Awards did the film win?,http://en.wikipedia.org/wiki/The_King's_Speech,Easy,Easy,Easy,,"Best Picture, Best Director (Hooper), Best Actor (Firth), and Best Original Screenplay (Seidler)","Best Picture, Best Director (Hooper), Best Actor (Firth), and Best Original Screenplay (Seidler)","Best Picture, Best Director (Hooper), Best Actor (Firth), and Best Original Screenplay (Seidler)",
What was the King's joke about ennunciating 'w'?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,,"""I had to throw in a few so they'd know it was me.""","""I had to leave something in or no one would have believed it was me"".","the King jokes back, ""I had to leave something in or no one would have believed it was me"".",
How were Seidler and Hooper convinced of Firth's suitability for the role?,http://en.wikipedia.org/wiki/The_King's_Speech,Medium,Medium,Medium,,Once they met with Firth and heard him read for the part,Once they met with Firth and heard him read for the part,Once they met with Firth and heard him read for the part,
Which instalment is this film in the Harry Potter film series?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,This film is the third instalment in the Harry Potter film series.,third instalment,third,
"Where are the lyrics of ""Double Trouble"" from",http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,"The lyrics of ""Double Trouble"" are from a ritual performed by the We√Ørd Sisters in Act 4, Scene 1 of Shakespeare's Macbeth.","a ritual performed by the We√Ørd Sisters in Act 4, Scene 1 of Shakespeare's Macbeth","a ritual performed by the We√Ørd Sisters in Act 4, Scene 1 of Shakespeare's Macbeth",
How does the Empire magazine 2008 rank this film?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,,The film also ranks at No. 471 in Empire magazine's 2008 list of the 500 greatest movies of all time.,No. 471,The film also ranks at No. 471 in Empire magazine's 2008 list of the 500 greatest movies of all time.,
Is this the first Harry porter film that uses IMAX Technology?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,,Yes.,yes,Yes,
When was the film released in the UK?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium,Medium,,The film was released on 31 May 2004 in the United Kingdom.,on 31 May 2004,on 31 May 2004,
Which film of the franchise is better reviewed than this film?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,Harry Potter and the Deathly Hallows ‚Äì Part 2.,Harry Potter and the Deathly Hallows ‚Äì Part 2,Harry Potter and the Deathly Hallows ‚Äì Part 2,
Which actor played Harry Porter?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,,Daniel Radcliffe,Daniel Radcliffe,Daniel Radcliffe,
How many month does it take for the principle photography?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,9 months.,nine,Nine,
Did the film hold premiere in New York or London first? ,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Medium,,New York,New York,New York,
When was the film release in North America?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,04-Jun-04,The film was released on 4 June 2004 in North America.,on 4 June 2004,
What will happen to Lupin when the full moon rises?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Hard,,Lupin will transform into a werewolf,Lupin transforms into a werewolf when the full moon rises.,Lupin transforms into a werewolf,
Who is the cast for Severus Snape?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Medium,,Alan Rickman,Alan Rickman is the cast for Severus Snape.,Alan Rickman,
Did Sirius betray the Potters' hiding location to Voldemort?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,,no,No.,No,
How did Sirius escape from Azkaban?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,It was not mentioned in the film,It did not mention in the film.,no mention of the manner of his escape from Azkaban,
What is the age of Harry when he spent another dissatisfying summer at Privet Drive?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,13,13,13,
Who is Chris Columbus?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,The director of the previous two films,The director of the previous two films,The director of the previous two films,
What was Cuar√≥n's first exercise with the actors who portray the central trio?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,,"He assigned Radcliffe, Grint and Watson to write an autobiographical essay about their character, written in the first person, spanning birth to the discovery of the magical world, and including the character's emotional experience.",To write an autobiographical essay about their character.,"Cuar√≥n assigned Radcliffe, Grint and Watson to write an autobiographical essay about their character",
What is the purpose of giving more attention to the emotional development of all three lead characters in the third film?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Medium,Medium,,in response to criticism of the first two films for sacrificing character development for mystery and adventure,In response to criticism of the first two films for sacrificing character development for mystery and adventure.,in response to criticism of the first two films for sacrificing character development for mystery and adventure,
Who directed Harry Potter and the Prisoner of Azkaban?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,Alfonso Cuar√≥n,Alfonso Cuar√≥n,Alfonso Cuar√≥n,
When was the film relased in the United Kindom?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,31-May-04,on 31 May 2004,on 31 May 2004,
Where did principal photography begin?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium,Medium,,24-Feb-03,on 24 February 2003,at Leavesden Film Studios,
Where was Hogwarts Lake filmed?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,,"Loch Shiel, Loch Eilt and Loch Morar in the Scottish Highlands","Loch Shiel, Loch Eilt and Loch Morar in the Scottish Highlands","from Loch Shiel, Loch Eilt and Loch Morar in the Scottish Highlands",
What was Harry Potter and the Prisoner of Azkaban nominated at the 77th Academy Awards?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,,Best Original Music Score and Best Visual Effects,Best Original Music Score (John Williams) and Best Visual Effects,Best Original Music Score (John Williams) and Best Visual Effects,
When did Cuar√≥n turn to CGI?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,Once it became apparent that puppetry would be too expensive and unable to portray the specific elements of the Dementors,Once it became apparent that puppetry would be too expensive and unable to portray the specific elements of the Dementors,Once it became apparent that puppetry would be too expensive and unable to portray the specific elements of the Dementors,
Is this film's music brighter than that of the previous films?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Hard,,no,No,No,
Why does Dumbledore somehow know that Harry and Hermione are outside of Hagrid's hut?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,because he distracts the other characters at key moments or slows down the proceedings,as he distracts the other characters at key moments or slows down the proceedings,as he distracts the other characters at key moments or slows down the proceedings,
Were Hogwarts courtyard and bridge seen in the first Harry Potter film?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,no,no,No,
Who distributed Harry Potter and the Prisoner of Azkaban?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,Warner Bros,Warner Bros,Warner Bros distributed Harry Potter and the Prisoner of Azkaban.,
Who is the author of the novel?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,J.K.Rowling,J.K. Rowling,J. K. Rowling is the author of the novel.,
Why Harry passed out on the trio?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,Since one dementor enterd the trio's apartment,One enters the trio's compartment,One dementor entering the trio's compartment caused Harry to pass out.,
Who taught Harry the Patronus Charm?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium,Easy,,Lupin,Lupin,Lupin taught Harry the Patronaus Charm.,
Was the production cycle of the film shorter than 18 months?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,no,No,No.,
Did the film utilize real-life locations?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,,yes,Yes,Yes.,
How was Harry's summer at Privet Drive?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium,Medium,Medium,,dissatisfying,dissatisfying,Dissatisfying,
What transportation did Harry take to go to the Leaky Cauldron?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,,The Knight Bus,The Knight Bus,The Knight Bus,
Who forgave Harry for using magic outside of Hogwarts?,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,,Minister of Magic Cornelius Fudge,Minister of Magic Cornelius Fudge,Minister of Magic Cornelius Fudge,
Who is Leo Messi?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,easy,easy,easy,Argentine professional footballer who plays as a forward for Spanish club Barcelona and the Argentina national team,Argentine professional footballer who plays as a forward for Ligue 1 club Paris Saint-Germain and captains the Argentina national team,Argentine professional football player who plays as a forward for for Ligue 1 club Paris Saint-Germain,Argentine professional footballer who plays as a forward for Spanish club Barcelona and the Argentina national team
When did Messi make his competitive debut?,http://en.wikipedia.org/wiki/Lionel_Messi,medium,medium,easy,easy,October 2004,October 2004,October 2004,October 2004
Has Messi endorsed sportswear company Adidas?,http://en.wikipedia.org/wiki/Lionel_Messi,medium,easy,easy,easy,Yes,Yes,Yes,Yes
When did Messi win his first Ballon d'Or? ,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,hard,hard,2008-09,2008-09,2008-09,2008-2009
Where did Rijkaard move Messi?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,easy,easy,easy,from his usual position onto the right flank,from his usual position onto the right flank,from his usual position onto the right flank,onto the right flank
In what year Charly Rexach could not sign Messi?,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,hard,hard,2000,2000,2000,2000
How was Leo Messi Foundation established?,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,hard,hard,"following a visit Messi paid to a hospital for terminally ill children in Boston, an experience that resonated with him to the point that he decided to reinvest part of his earnings into society","following a visit Messi paid to a hospital for terminally ill children in Boston, an experience that resonated with him to the point that he decided to reinvest part of his earnings into society","following a visit Messi paid to a hospital for terminally ill children in Boston, an experience that resonated with him to the point that he decided to reinvest part of his earnings into society",following a visit Messi paid to a hospital for terminally ill children
How many goals did Messi score for Newell?,http://en.wikipedia.org/wiki/Lionel_Messi,medium,medium,medium,medium,500,500,500,almost 500
Why did Messi relocate to Spain?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,easy,easy,easy,To join Barcelona,To join Barcelona,to join Barcelona,To join Barcelona
How did the West Saxon dialect become the standard written variety?,http://en.wikipedia.org/wiki/English_language,medium,hard,hard,hard,Through the educational reforms of King Alfred in the ninth century and the influence of the kingdom of Wessex,Through the educational reforms of King Alfred in the 9th century,Through the educational reforms of King Alfred in the 9th century,educational reforms of King Alfred in the ninth century and the influence of the kingdom of Wessex
Who is English named after?,http://en.wikipedia.org/wiki/English_language,medium,medium,medium,medium,the Angles," the Angles, one of the ancient Germanic peoples",Angles,the Angles
Is English the most spoken native language?,http://en.wikipedia.org/wiki/English_language,hard,hard,hard,hard,No,No,No,No
What did Latin alphabet adopted in sixth century include?,http://en.wikipedia.org/wiki/English_language,hard,hard,hard,hard,"runic letters wynn <?> and thorn <˛>, and the modified Latin letters eth <>, and ash <Ê>","runic letters wynn <?> and thorn <˛>, and the modified Latin letters eth <>, and ash <Ê>","runic letters wynn <?> and thorn <˛>, and the modified Latin letters eth <>, and ash <Ê>","runic letters wynn <?> and thorn <˛>, and the modified Latin letters eth <>, and ash <Ê>"
What is the language of diplomacy at the Treaty of Versailles negotiations?,http://en.wikipedia.org/wiki/English_language,easy,easy,easy,easy,French,French,French,French
Why is English is not mutually intelligible with any continental Germanic language?,http://en.wikipedia.org/wiki/English_language,hard,medium,medium,hard,English developed independently of the continental Germanic languages and their influences,"English, like the other insular Germanic languages, Icelandic and Faroese, developed independently of the continental Germanic languages and their influences.",It developed independently of the continental Germanic languages and their influences,English developed independently of the continental Germanic languages and their influences
"By the late 18th century, who facilitated the spread of English?",http://en.wikipedia.org/wiki/English_language,easy,easy,easy,easy,the British Empire,the British Empire,the British Empire,the British Empire
Why is English classified as a Germanic language?,http://en.wikipedia.org/wiki/English_language,medium,medium,medium,medium,"because it shares new language features (different from other Indo-European languages) with other Germanic languages such as Dutch, German, and Swedish","it shares new language features (different from other Indo-European languages) with other Germanic languages such as Dutch, German, and Swedish.","it shares new language features (different from other Indo-European languages) with other Germanic languages such as Dutch, German, and Swedish.","it shares new language features (different from other Indo-European languages) with other Germanic languages such as Dutch, German, and Swedish"
When did William Caxton introduce the printing press to England?,http://en.wikipedia.org/wiki/English_language,easy,easy,easy,easy,1476,1476,1476,1476
Where was English first spoken?,http://en.wikipedia.org/wiki/English_language,hard,hard,hard,hard,the inhabitants of early medieval England,inhabitants of early medieval England,inhabitants of early medieval England,England
"As of 2010, how many million people spoke English as their first language?",http://en.wikipedia.org/wiki/English_language,easy,easy,easy,easy,359,359,359,359
How many primary tenses does English have?,http://en.wikipedia.org/wiki/English_language,easy,easy,easy,easy,two,two,two,2
What makes English a pluricentric langauge?,http://en.wikipedia.org/wiki/English_language,medium,medium,medium,medium,no one national authority sets the standard for use of the language,No one authority decides the rules for English,No one authority decides the rules for English,No one government decides the rules for English
What are the two general categories that linguists divide major native dialects of English into?,http://en.wikipedia.org/wiki/English_language,hard,medium,hard,medium,British English (BrE) and North American English (NAE), British English (BrE) and North American English (NAE),British dialects and North America dialects,British dialects and North America dialects
What is one characteristic of Old English that Modern English doesn't have?,http://en.wikipedia.org/wiki/English_language,hard,hard,hard,medium,Case endings in nouns,Case endings in nouns,Case endings in nouns,Case endings in nouns
What century did Middle English begin in?,http://en.wikipedia.org/wiki/English_language,easy,easy,easy,easy,11th,11th ,11th ,11th
Name one adverb that is considered to have an irregular adverbial form.,http://en.wikipedia.org/wiki/English_language,hard,hard,hard,hard,good,good,good,Well
Is Jamaica an expanding circle country according to Kachru's three-circles model?,http://en.wikipedia.org/wiki/English_language,hard,hard,hard,hard,No,No,No,No
How many times has Messi won the FIFA Ballon d'Or?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,easy,easy,easy,5,5,5,5
Name the two main countries of Messi's ancestry.,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,hard,hard,Italy and Spain,Italy and Spain,Italy and Spain,Italy and Spain
Who is Messi currently in a relationship with?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,easy,easy,easy,Antonela Roccuzzo,Antonella Roccuzzo,Antonella Roccuzzo,Antonella Roccuzzo
Where was Lionel Messi born?,http://en.wikipedia.org/wiki/Lionel_Messi,easy,easy,easy,easy,"Rosario, Santa Fe","Rosario, Santa Fe","Rosario, Santa Fe","Rosario, Santa Fe"
How old was Messi when he made his first team debut?,http://en.wikipedia.org/wiki/Lionel_Messi,medium,medium,medium,medium,"16 years, four months, 23 days old","16 years, four months, 23 days old","16 years, four months, 23 days old","16 years, four months, 23 days old"
What is Messi's religion?,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,hard,hard,Catholicism,Catholicism,Catholicism,Catholicism
Which Argentinian player anointed Messi as his successor?,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,hard,hard,Diego Maradona,Diego Maradona,Diego Maradona,Diego Maradona
What are the names of Messi's two sons?,http://en.wikipedia.org/wiki/Lionel_Messi,hard,hard,medium,medium,Thiago and Mateo,Thiago and Mateo,Thiago and Mateo,Thiago and Mateo
How many goals has Messi scored in La Liga?,http://en.wikipedia.org/wiki/Lionel_Messi,medium,medium,medium,medium,296,296,296,296
Is English the most spoken langauge in the world?,http://en.wikipedia.org/wiki/English_language,easy,easy,easy,medium,Yes,Yes,Yes,Probably
Which is the most widely learned second langauge?,http://en.wikipedia.org/wiki/English_language,easy,easy,medium,easy,English,English,English,English
How many letters are there in the modern English alphabet?,http://en.wikipedia.org/wiki/English_language,easy,easy,easy,easy,26,26,26,26
What are the four dialects of old english?,http://en.wikipedia.org/wiki/English_language,medium,medium,hard,medium,"the Anglian dialects (Mercian and Northumbrian) and the Saxon dialects, Kentish and West Saxon.","Mercian, Northumbrian, Kentish and West Saxon","Mercian, Northumbrian, Kentish and West Saxon","Mercian and Northumbrian, Kentish, West Saxon"
What can be regarded as a primary distinguisher between speaker's accent?,http://en.wikipedia.org/wiki/English_language,easy,medium,medium,medium,The pronunciation of particular areas,The pronounciation of vowels,The pronounciation of vowels,pronunciation of vowels
